exchange,stockCode,stockSymbol,companyName
NSE,154,APCOTEXIND,Apcotex Industries
NSE,21623,APEX,Apex Frozen Foods
NSE,25780,APLAPOLLO,APL Apollo Tubes
NSE,157,APOLLOHOSP,Apollo Hospitals
NSE,1134,APOLLO,Apollo Micro Systems
NSE,14361,APOLLOPIPE,Apollo Pipes
NSE,6308,APOLSINHOT,Apollo Sindoori Hotel
NSE,163,APOLLOTYRE,Apollo Tyres
NSE,10755,APTECHT,Aptech
NSE,5435,APTUS,Aptus Value Housing Finance India
NSE,12024,ACI,Archean Chemical Industries
NSE,16799,ARCHIDPLY,Archidply
NSE,248,ADL,Archidply Decor
NSE,6400,ARCHIES,Archies
NSE,13092,ARHAM,Arham Technologies
NSE,15204,ARIES,Aries Agro
NSE,13340,ARIHANTACA,Arihant Academy
NSE,3813,ARIHANTCAP,Arihant Capital Markets
NSE,20159,ARIHANTSUP,Arihant Superstructures
NSE,13926,ARISTO,Aristo Bio-Tech and Lifescience
NSE,17263,ARMANFIN,Arman Financial Services
NSE,14557,AROGRANITE,Aro Granite Industries
NSE,9264,ARROWGREEN,Arrow Greentech
NSE,17825,ARSHIYA,Arshiya
NSE,18206,ARSSINFRA,ARSS Infrastructure Projects
NSE,6159,ARTNIRMAN,ART NIRMAN LIMITED
NSE,16913,ARTEMISMED,Artemis Medicare Services
NSE,2820,ARVEE,Arvee Laboratories
NSE,193,ARVIND,Arvind
NSE,9111,ARVINDFASN,Arvind Fashions
NSE,10457,ARVSMART,Arvind SmartSpaces
NSE,5378,ASAHIINDIA,Asahi India Glass
NSE,25088,ASAHISONG,Asahi Songwon Colors
NSE,15001,ASCOM,ASCOM LEASIN & INVEST LTD
NSE,203,ASHAPURMIN,Ashapura Minechem
NSE,24403,ASHIANA,Ashiana Housing
NSE,206,ASHIMASYN,Ashima
NSE,212,ASHOKLEY,Ashok Leyland
NSE,20182,ASHOKA,Ashoka Buildcon
NSE,16947,ASHOKAMET,Ashoka Metcast
NSE,7033,ASIANENE,Asian Energy Services
NSE,14889,ASIANTILES,Asian Granito India
NSE,19438,AHLEAST,Asian Hotels (East)
NSE,18425,ASIANHOTNR,Asian Hotels (North)
NSE,236,ASIANPAINT,Asian Paints
NSE,20502,ASLIND,ASL INDUSTRIES LIMITED
NSE,17270,ASPINWALL,Aspinwall & Co
NSE,17598,ASALCBR,Associated Alcohols & Breweries
NSE,17728,ASTEC,Astec Lifesciences
NSE,1508,ASTERDM,Aster DM Healthcare
NSE,11618,ASTRAMICRO,Astra Microwave Products
NSE,14418,ASTRAL,Astral
NSE,5610,ASTRAZEN,AstraZeneca Pharma India
NSE,874,ASTRON,Astron Paper and Board Mill
NSE,15649,ATALREAL,Atal Realtech
NSE,15411,ATAM,Atam Valves
NSE,13582,ATLANTA,Atlanta
NSE,263,ATUL,ATUL
NSE,30023,ATULAUTO,Atul Auto
NSE,21238,AUBANK,AU Small Finance Bank
NSE,18762,AURDIS,Aurangabad Distillery
NSE,12025,AURIONPRO,Aurionpro Solutions
NSE,15869,AUROIMPEX,Auro Impex  & Chemicals
NSE,275,AUROPHARMA,Aurobindo Pharma
NSE,10310,AURUM,Aurum PropTech
NSE,9643,AURUMPP,Aurum PropTech Limited
NSE,4037,AUSOMENT,AuSom Enterprise
NSE,14106,AUTOIND,Autoline Industries
NSE,278,AUTOAXLES,Automotive Axles
NSE,10634,ASAL,Automotive Stampings & Assemblies
